Mode,Protocol,Nodes,Flows,PpsPerFlow,Speed_mps,Area_m,SimTime_s,PacketSize_B,Seed,Runs,DataTxPkts_mean,DataRxPkts_mean,DataLostPkts_mean,Throughput_bps_mean,AvgDelay_ms_mean,PDR_mean,DropRatio_mean,EnergyConsumed_J_mean,RoutingTxPkts_mean,RoutingRxPkts_mean
wired,AODV,20,10,100,0,70,8,512,1,1,5900.0,4411.0,692.0,2381940.0,493.143374,0.747627,0.117288,0.0,8.0,8.0
wired,AODV,20,10,200,0,70,8,512,1,1,11800.0,4585.0,5527.0,2475900.0,1107.704393,0.388559,0.46839,0.0,38.0,25.0
wired,AODV,20,20,100,0,70,8,512,1,1,11800.0,4052.0,5219.0,2188080.0,1131.252145,0.34339,0.442288,0.0,217.0,81.0
wired,AODV,20,20,200,0,70,8,512,1,1,23600.0,4214.0,13243.0,2275560.0,1508.726229,0.178559,0.561144,0.0,266.0,178.0
wired,AODV,40,10,100,0,70,8,512,1,1,5900.0,3581.0,1090.0,1933740.0,513.64156,0.606949,0.184746,0.0,17.0,17.0
wired,AODV,40,10,200,0,70,8,512,1,1,11800.0,3688.0,6032.0,1991520.0,1254.407124,0.312542,0.511186,0.0,24.0,24.0
wired,AODV,40,20,100,0,70,8,512,1,1,11800.0,2783.0,5060.0,1502820.0,1558.919388,0.235847,0.428814,0.0,435.0,98.0
wired,AODV,40,20,200,0,70,8,512,1,1,23600.0,2903.0,12914.0,1567620.0,1900.656991,0.123008,0.547203,0.0,448.0,208.0
wired,AOMDV,20,10,100,0,70,8,512,1,1,4677.0,1691.0,2355.0,913140.0,1303.056119,0.361557,0.503528,0.0,53.0,51.0
wired,AOMDV,20,10,200,0,70,8,512,1,1,9359.0,1750.0,5071.0,945000.0,1732.754402,0.186986,0.541831,0.0,53.0,51.0
wired,AOMDV,20,20,100,0,70,8,512,1,1,9310.0,1345.0,5568.0,726300.0,1590.969503,0.144468,0.598067,0.0,190.0,155.0
wired,AOMDV,20,20,200,0,70,8,512,1,1,18627.0,1355.0,8356.0,731700.0,1806.275721,0.072744,0.448596,0.0,193.0,154.0
wired,AOMDV,40,10,100,0,70,8,512,1,1,3806.0,307.0,751.0,165780.0,2436.699586,0.080662,0.19732,0.0,303.0,169.0
wired,AOMDV,40,10,200,0,70,8,512,1,1,7642.0,321.0,1068.0,173340.0,2512.415724,0.042005,0.139754,0.0,291.0,157.0
wired,AOMDV,40,20,100,0,70,8,512,1,1,7209.0,176.0,994.0,95040.0,2765.831494,0.024414,0.137883,0.0,670.0,198.0
wired,AOMDV,40,20,200,0,70,8,512,1,1,14378.0,190.0,1004.0,102600.0,2652.415147,0.013215,0.069829,0.0,664.0,199.0
