Mode,Nodes,Flows,Pps,Speed_mps,SimTime_s,PacketSize_B,Seed,Run,DataTxPkts,DataRxPkts,DataLostPkts,Throughput_bps,AvgDelay_ms,PDR,DropRatio,EnergyConsumed_J
wired,8,2,1,0,60,512,1,1,100,100,0,7200,1.58961,1,0,0
wired,8,2,2,0,60,512,1,1,208,208,0,14976,1.55396,1,0,0
wired,8,2,5,0,60,512,1,1,534,534,0,38448,1.71038,1,0,0
wired,8,2,10,0,60,512,1,1,1073,1070,3,77040,1.96452,0.997204,0.0027959,0
wired,8,4,1,0,60,512,1,1,200,200,0,14400,2.70019,1,0,0
wired,8,4,2,0,60,512,1,1,419,419,0,30168,2.71649,1,0,0
wired,8,4,5,0,60,512,1,1,1067,1065,2,76680,3.82177,0.998126,0.00187441,0
wired,8,4,10,0,60,512,1,1,2141,2099,42,151128,7.05088,0.980383,0.019617,0
wired,8,6,1,0,60,512,1,1,300,300,0,21600,4.09626,1,0,0
wired,8,6,2,0,60,512,1,1,623,621,2,44712,5.42641,0.99679,0.00321027,0
wired,8,6,5,0,60,512,1,1,1587,1552,35,111744,12.5365,0.977946,0.0220542,0
wired,8,6,10,0,60,512,1,1,3164,1521,1367,109512,67.3326,0.480721,0.432048,0
wired,8,8,1,0,60,512,1,1,412,412,0,29664,6.04216,1,0,0
wired,8,8,2,0,60,512,1,1,841,829,12,59688,32.806,0.985731,0.0142687,0
wired,8,8,5,0,60,512,1,1,2138,2082,56,149904,17.7826,0.973807,0.0261927,0
wired,8,8,10,0,60,512,1,1,4196,372,3348,26784,720.699,0.0886559,0.797903,0
wired,8,10,1,0,60,512,1,1,519,476,33,34272,10.6443,0.917148,0.0635838,0
wired,8,10,2,0,60,512,1,1,1051,1047,4,75384,9.12721,0.996194,0.0038059,0
wired,8,10,5,0,60,512,1,1,2580,1907,413,137304,223.411,0.739147,0.160078,0
wired,8,10,10,0,60,512,1,1,5025,1011,3321,72792,572.685,0.201194,0.660896,0
wired,12,2,1,0,60,512,1,1,100,100,0,7200,1.61638,1,0,0
wired,12,2,2,0,60,512,1,1,212,212,0,15264,1.65555,1,0,0
wired,12,2,5,0,60,512,1,1,540,540,0,38880,1.69428,1,0,0
wired,12,2,10,0,60,512,1,1,1084,1083,1,77976,1.74512,0.999077,0.000922509,0
wired,12,4,1,0,60,512,1,1,205,195,10,14040,5.8554,0.95122,0.0487805,0
wired,12,4,2,0,60,512,1,1,425,425,0,30600,3.25216,1,0,0
wired,12,4,5,0,60,512,1,1,1072,1059,13,76248,5.42053,0.987873,0.0121269,0
wired,12,4,10,0,60,512,1,1,2092,1789,166,128808,35.5327,0.855163,0.0793499,0
wired,12,6,1,0,60,512,1,1,307,275,24,19800,12.3642,0.895765,0.0781759,0
wired,12,6,2,0,60,512,1,1,629,615,14,44280,18.5145,0.977742,0.0222576,0
wired,12,6,5,0,60,512,1,1,1563,1340,136,96480,37.4221,0.857326,0.0870122,0
wired,12,6,10,0,60,512,1,1,3056,796,1743,57312,85.2581,0.260471,0.570353,0
wired,12,8,1,0,60,512,1,1,406,393,13,28296,26.8055,0.96798,0.0320197,0
wired,12,8,2,0,60,512,1,1,838,756,52,54432,12.4109,0.902148,0.0620525,0
wired,12,8,5,0,60,512,1,1,2116,1678,288,120816,49.8099,0.793006,0.136106,0
wired,12,8,10,0,60,512,1,1,3167,248,2381,17856,676.838,0.0783075,0.751816,0
wired,12,10,1,0,60,512,1,1,509,439,57,31608,20.3167,0.862475,0.111984,0
wired,12,10,2,0,60,512,1,1,1053,1024,29,73728,18.6399,0.97246,0.0275404,0
wired,12,10,5,0,60,512,1,1,2681,2190,338,157680,66.9197,0.816859,0.126072,0
wired,12,10,10,0,60,512,1,1,4076,251,2964,18072,714.828,0.06158,0.727184,0
wired,16,2,1,0,60,512,1,1,100,100,0,7200,1.59062,1,0,0
wired,16,2,2,0,60,512,1,1,208,208,0,14976,1.59928,1,0,0
wired,16,2,5,0,60,512,1,1,531,531,0,38232,2.49774,1,0,0
wired,16,2,10,0,60,512,1,1,1056,1023,33,73656,7.81938,0.96875,0.03125,0
wired,16,4,1,0,60,512,1,1,199,199,0,14328,3.6698,1,0,0
wired,16,4,2,0,60,512,1,1,408,408,0,29376,4.46018,1,0,0
wired,16,4,5,0,60,512,1,1,556,37,355,2664,722.772,0.0665468,0.638489,0
wired,16,4,10,0,60,512,1,1,2041,0,1665,0,0,0,0.815777,0
wired,16,6,1,0,60,512,1,1,296,296,0,21312,5.77736,1,0,0
wired,16,6,2,0,60,512,1,1,605,595,10,42840,18.1678,0.983471,0.0165289,0
wired,16,6,5,0,60,512,1,1,1383,0,1101,0,0,0,0.796095,0
wired,16,6,10,0,60,512,1,1,1975,0,1599,0,0,0,0.80962,0
wired,16,8,1,0,60,512,1,1,395,360,33,25920,23.5836,0.911392,0.0835443,0
wired,16,8,2,0,60,512,1,1,807,500,255,36000,73.2156,0.619579,0.315985,0
wired,16,8,5,0,60,512,1,1,1763,20,1422,1440,673.332,0.0113443,0.80658,0
wired,16,8,10,0,60,512,1,1,1240,0,864,0,0,0,0.696774,0
wired,16,10,1,0,60,512,1,1,496,466,30,33552,27.5237,0.939516,0.0604839,0
wired,16,10,2,0,60,512,1,1,867,89,649,6408,391.354,0.102653,0.748558,0
wired,16,10,5,0,60,512,1,1,2221,0,1845,0,0,0,0.830707,0
wired,16,10,10,0,60,512,1,1,3410,0,2846,0,0,0,0.834604,0
wired,20,2,1,0,60,512,1,1,100,100,0,7200,1.59653,1,0,0
wired,20,2,2,0,60,512,1,1,208,208,0,14976,1.70077,1,0,0
wired,20,2,5,0,60,512,1,1,529,529,0,38088,2.67071,1,0,0
wired,20,2,10,0,60,512,1,1,574,66,320,4752,606.641,0.114983,0.557491,0
wired,20,4,1,0,60,512,1,1,204,204,0,14688,3.10688,1,0,0
wired,20,4,2,0,60,512,1,1,414,387,7,27864,5.97635,0.934783,0.0169082,0
wired,20,4,5,0,60,512,1,1,1050,998,52,71856,26.784,0.950476,0.0495238,0
wired,20,4,10,0,60,512,1,1,1634,0,1317,0,0,0,0.805998,0
wired,20,6,1,0,60,512,1,1,297,295,2,21240,7.06793,0.993266,0.00673401,0
wired,20,6,2,0,60,512,1,1,601,575,26,41400,41.1881,0.956739,0.0432612,0
wired,20,6,5,0,60,512,1,1,893,59,673,4248,600.397,0.0660694,0.753639,0
wired,20,6,10,0,60,512,1,1,1665,31,1521,2232,445.684,0.0186186,0.913514,0
wired,20,8,1,0,60,512,1,1,398,384,14,27648,24.8879,0.964824,0.0351759,0
wired,20,8,2,0,60,512,1,1,838,455,262,32760,378.471,0.542959,0.312649,0
wired,20,8,5,0,60,512,1,1,1358,34,1159,2448,704.046,0.0250368,0.853461,0
wired,20,8,10,0,60,512,1,1,2169,26,1753,1872,574.438,0.0119871,0.808207,0
wired,20,10,1,0,60,512,1,1,497,309,150,22248,42.811,0.62173,0.301811,0
wired,20,10,2,0,60,512,1,1,819,27,701,1944,699.819,0.032967,0.855922,0
wired,20,10,5,0,60,512,1,1,1626,7,1446,504,923.197,0.00430504,0.889299,0
wired,20,10,10,0,60,512,1,1,3115,16,2825,1152,941.335,0.00513644,0.906902,0
